dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,116.214852,251.430337,5.666090,10.334839,11.472727,-1.413414,0.017445
0.020000,116.426093,251.434071,5.877365,10.563715,11.443824,-1.445172,0.017902
0.020000,116.641898,251.437984,6.093205,10.791997,11.414108,-1.485782,0.018353
0.020000,116.862253,251.442077,6.313598,11.019678,11.384018,-1.504517,0.018798
0.020000,117.087147,251.446355,6.538533,11.246741,11.353184,-1.541685,0.019236
0.020000,117.316567,251.450818,6.767996,11.473170,11.321434,-1.587476,0.019666
0.020000,117.550500,251.455469,7.001976,11.698959,11.289442,-1.599644,0.020087
0.020000,117.788933,251.460309,7.240457,11.924090,11.256561,-1.644011,0.020498
0.020000,118.031852,251.465338,7.483428,12.148548,11.222913,-1.682426,0.020898
0.020000,118.279243,251.470557,7.730875,12.372326,11.188883,-1.701513,0.021285
0.020000,118.531093,251.475966,7.982783,12.595407,11.154056,-1.741330,0.021659
0.020000,118.787388,251.481564,8.239139,12.817779,11.118586,-1.773502,0.022017
0.020000,119.048112,251.487351,8.499927,13.039427,11.082415,-1.808573,0.022360
0.020000,119.313252,251.493324,8.765134,13.260340,11.045628,-1.839309,0.022686
0.020000,119.582791,251.499482,9.034744,13.480505,11.008264,-1.868209,0.022993
0.020000,119.856716,251.505821,9.308742,13.699906,10.970073,-1.909575,0.023280
0.020000,120.135011,251.512339,9.587113,13.918534,10.931374,-1.934913,0.023547
0.020000,120.417659,251.519031,9.869840,14.136371,10.891866,-1.975445,0.023791
0.020000,120.704645,251.525892,10.156908,14.353408,10.851847,-2.000904,0.024011
0.020000,120.995953,251.532917,10.448301,14.569629,10.811063,-2.039202,0.024207
0.020000,121.291566,251.540100,10.744001,14.785022,10.769626,-2.071877,0.024376
0.020000,121.591468,251.547434,11.043993,14.999572,10.727528,-2.104904,0.024517
0.020000,121.895641,251.554910,11.348258,15.213268,10.684762,-2.138301,0.024629
0.020000,122.204069,251.562522,11.656780,15.426094,10.641320,-2.172088,0.024710
0.020000,122.516734,251.570258,11.969541,15.638038,10.597194,-2.206277,0.024759
0.020000,122.833619,251.578109,12.286523,15.849086,10.552377,-2.240885,0.024775
0.020000,123.154705,251.586063,12.607707,16.059223,10.506894,-2.274149,0.024755
0.020000,123.479974,251.594108,12.933076,16.268438,10.460723,-2.308549,0.024698
0.020000,123.809408,251.602232,13.262610,16.476715,10.413838,-2.344250,0.024604
